ID,Customer,Customer Name,invoice_date,POS Profile,Total Quantity,Price List,Net Total,Grand Total,Total Taxes and Charges,Mode of Payment
ACC-SINV-2023-02438,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,2,Standard Selling,1379.31,1600,220.69,Credit Card
ACC-SINV-2023-02437,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,1,Standard Selling,2155.17,2500,344.83,Cash
ACC-SINV-2023-02436,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,10,Standard Selling,8663.79,10050,1386.21,Cash
ACC-SINV-2023-02435,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,2,Standard Selling,1250,1450,200,M-PESA
ACC-SINV-2023-02434,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,4,Standard Selling,5862.07,6800,937.93,Cash
ACC-SINV-2023-02433,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,11,Standard Selling,13612.07,15790,2177.93,M-PESA
ACC-SINV-2023-02432,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,1,Standard Selling,10775.86,12500,1724.14,Cash
ACC-SINV-2023-02431,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,7,Standard Selling,9396.55,10900,1503.45,M-PESA
ACC-SINV-2023-02430,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,44,Standard Selling,73103.45,84800,11696.55,M-PESA
ACC-SINV-2023-02429,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,1,Standard Selling,2155.17,2500,344.83,M-PESA
ACC-SINV-2023-02428,HEZRON,HEZRON,2023-04-14,POS STATION ONE BEE CENTER,3,Standard Selling,9051.72,10500,1448.28,M-PESA
ACC-SINV-2023-02427,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,2,Standard Selling,1293.1,1500,206.9,M-PESA
ACC-SINV-2023-02426,Walk in,Walk in,2023-04-17,POS STATION ONE BEE CENTER,1,Standard Selling,10344.83,12000,1655.17,M-PESA
ACC-SINV-2023-02425,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,1,Standard Selling,3275.86,3800,524.14,Cash
ACC-SINV-2023-02424,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,1,Standard Selling,2068.97,2400,331.03,Cash
ACC-SINV-2023-02423,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,3,Standard Selling,6379.31,7400,1020.69,Cash
ACC-SINV-2023-02422,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,5,Standard Selling,4784.48,5550,765.52,M-PESA
ACC-SINV-2023-02421,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,9,Standard Selling,12500,14500,2000,Credit Card
ACC-SINV-2023-02420,Walk in,Walk in,2023-04-14,POS STATION ONE BEE CENTER,3,Standard Selling,2758.62,3200,441.38,Bank Draft
ACC-SINV-2023-02419,SALUTE SPATIAL SOLUTIONS LTD,SALUTE SPATIAL SOLUTIONS LTD,2023-04-14,POS STATION ONE BEE CENTER,13,Standard Selling,22189.65,25740,3550.34,Cheque
ACC-SINV-2023-02418,SALUTE SPATIAL SOLUTIONS LTD,SALUTE SPATIAL SOLUTIONS LTD,2023-04-14,POS STATION ONE BEE CENTER,11,Standard Selling,21206.9,24600,3393.1,Wire Transfer
ACC-SINV-2023-02417,SALUTE SPATIAL SOLUTIONS LTD,SALUTE SPATIAL SOLUTIONS LTD,2023-04-14,POS STATION ONE BEE CENTER,16,Standard Selling,23051.72,26740,3688.28,Cash
ACC-SINV-2023-02416,SALUTE SPATIAL SOLUTIONS LTD,SALUTE SPATIAL SOLUTIONS LTD,2023-04-14,POS STATION ONE BEE CENTER,11,Standard Selling,17672.41,20500,2827.59,Cash
